Filas,Áreas Transaccionales Filas No.,Áreas Transaccionales Filas Descripción,Codigo Transacción Filas,Transacción filas,Código Productos (CUP),Productos (CUP),Código CPC Grupos,CPC Grupos,Código Productos Compactos,Productos Compactos,Código Bioeconomía Productos,Bioeconomía Productos,Código CUPc,CUPc,Código BCT,BCT
mp_f001,ATF01,Producción,P1,Producción,1,Trigo,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f002,ATF01,Producción,P1,Producción,2,Maíz,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f003,ATF01,Producción,P1,Producción,3,Otros cereales,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f004,ATF01,Producción,P1,Producción,4,Tubérculos y legumbres,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f005,ATF01,Producción,P1,Producción,5,Forrajeras y otros cultivos de uso industrial,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f006,ATF01,Producción,P1,Producción,6,Hortalizas y setas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f007,ATF01,Producción,P1,Producción,7,Uva vinífera y pisquera,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f008,ATF01,Producción,P1,Producción,8,Uva de mesa,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f009,ATF01,Producción,P1,Producción,9,Manzanas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f010,ATF01,Producción,P1,Producción,10,Duraznos y otros carozos,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f011,ATF01,Producción,P1,Producción,11,Paltas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f012,ATF01,Producción,P1,Producción,12,Kiwis y otras frutas tropicales,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f013,ATF01,Producción,P1,Producción,13,Arándanos y otras bayas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f014,ATF01,Producción,P1,Producción,14,Otras Frutas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f015,ATF01,Producción,P1,Producción,15,Ganado bovino,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f016,ATF01,Producción,P1,Producción,16,Cerdos,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f017,ATF01,Producción,P1,Producción,17,Aves de corral,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f018,ATF01,Producción,P1,Producción,18,Leche sin procesar,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f019,ATF01,Producción,P1,Producción,19,Huevos,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f020,ATF01,Producción,P1,Producción,20,Otros animales y productos pecuarios,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f021,ATF01,Producción,P1,Producción,21,"Servicios de apoyo a la agricultura, ganadería y silvicultura",0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f022,ATF01,Producción,P1,Producción,22,Coníferas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f023,ATF01,Producción,P1,Producción,23,Eucaliptus,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f024,ATF01,Producción,P1,Producción,24,Leña y otros productos silvícolas,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
mp_f025,ATF01,Producción,P1,Producción,25,Salmones y truchas de cultivo,0,"Productos de la agricultura, la silvicultura y la pesca",1,Agropecuarios,1,Bioeconomía,2,No culturales,2,Resto productos
